Id,info_group
83,1
108,1
52,1
28,1
39,1
154,1
148,1
38,1
113,1
179,1
147,1
146,1
95,1
164,1
124,1
67,1
64,1
47,1
59,1
106,1
68,1
35,1
73,1
84,1
129,1
74,1
58,1
6,1
13,1
75,1
182,1
110,1
70,1
112,1
145,1
43,1
88,1
53,1
158,2
79,2
160,2
50,2
5,2
18,2
57,2
85,2
37,2
102,2
91,2
11,2
81,2
44,2
98,2
117,2
128,2
131,2
46,2
42,2
180,2
27,2
140,2
82,2
89,2
176,2
3,2
55,2
157,2
142,2
181,2
155,2
138,2
4,2
15,2
167,2
183,2
127,3
141,3
94,3
63,3
119,3
90,3
149,3
177,3
135,3
48,3
130,3
120,3
62,3
133,3
165,3
121,3
137,3
60,3
144,3
103,3
20,3
25,3
151,3
66,4
7,4
51,4
115,4
30,4
170,4
23,4
173,4
100,4
93,4
156,4
163,4
116,4
61,4
111,4
166,4
161,4
172,4
107,4
174,4
175,4
169,4
12,4
97,5
134,5
150,5
33,5
22,5
54,5
17,5
86,5
8,5
184,5
65,5
77,5
122,5
126,5
36,5
87,5
78,5
19,5
41,5
45,5
29,5
139,5
168,6
152,6
162,6
159,6
34,6
24,6
99,6
96,6
104,6
125,6
114,6
171,6
178,6
9,6
26,6
109,6
101,6
32,6
123,6
10,7
31,7
92,7
14,7
56,7
105,7
132,7
80,7
143,7
49,7
21,7
153,7
1,7
2,8
40,8
71,8
76,8
16,8
69,8
136,9
